RECTYPE,ALPHAIND,REGION,LASORT,LEA,ESTAB,URN,SCHNAME_AC,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,CONTFLAG,NFTYPE,RELDENOM,ADMPOL,GENDER1618,FEEDER,AGERANGE,ICLOSE,TABKS2,TAB15,EXAMCONF,DUMMY1,TPUP1618,TALLPUPA,TALLPUP_ALEVA,TALLPUP_ACADA,TALLPUP_VQA,TALLPUP_ALEV_FTEA,TALLPUP_ACAD_FTEA,TALLPUP_VQ_FTEA,APSFTE_ALEVA,TALLPPE_ALEVA,APSFTE_ACADA,TALLPPE_ACADA,APSFTE_VQA,TALLPPE_VQA,PTPASS1LV3_ALEVCOH,PTPASS2LV3_ALEVCOH,PTPASS3LV3_ALEVCOH,PTPASS1LV3_ACADCOH,PTPASS2LV3_ACADCOH,PTPASS3LV3_ACADCOH,PTPASS1LV3_VQCOH,PTPASS2LV3_VQCOH,PTPASS3LV3_VQCOH,PTGRADEAAB2_ALEV,TALLPPEGRD_ALEVA,TALLPPEGRD_ACADA,TALLPPEGRD_VQA,VA_INS_ALEV,LCI_INS_ALEV,UCI_INS_ALEV,NU_AIMS_INS_ALEV,VA_INS_AC,LCI_INS_AC,UCI_INS_AC,NU_AIMS_INS_AC,VA_INS_VQ,LCI_INS_VQ,UCI_INS_VQ,NU_AIMS_INS_VQ
1,2756,45,2,801,4030,109278,,Ashton Park School,Blackmoor's Lane,Bower Ashton,,Bristol,BS3 2JL,0117 3772777,0,FD,None,COMP,MIXED,0,11-18,0,0,1,1,,151,64,52,52,31,40.3,42.5,21.5,638.8,185.7,639.9,185.7,754.3,224.2,100%,73%,52%,100%,73%,52%,100%,84%,45%,0%,D+,D+,Dist,-0.19,-0.32,-0.07,161,-0.23,-0.35,-0.11,187,-0.10,-0.37,0.18,37
1,3270,45,2,801,6003,109337,,Badminton School,Westbury Road,Westbury-on-Trym,,Bristol,BS9 3BA,0117 9055200,0,IND,None,,GIRLS,0,4-18,0,0,1,1,,111,60,60,60,NE,60,60,NE,1005.5,257.8,1005.9,257.9,NE,NE,100%,100%,98%,100%,100%,98%,NE,NE,NE,63%,A-,A-,NE,0.13,0.03,0.24,198,0.13,0.03,0.24,198,NA,NA,NA,NA
1,7454,45,2,801,4032,109280,,Brislington Enterprise College,Hungerford Road,Brislington,,Bristol,BS4 5EY,0117 3772055,0,FD,Does not apply,COMP,MIXED,0,11-18,1,0,1,0,,65,7,NE,NE,7,NE,NE,7,NE,NE,NE,NE,242.1,169.5,NE,NE,NE,NE,NE,NE,100%,29%,0%,NE,NE,NE,Pass,NA,NA,NA,NA,NA,NA,NA,NA,-0.78,-1.26,-0.31,11
1,7458,45,2,801,6907,135300,,Bristol Brunel Academy,Speedwell Road,Speedwell,,Bristol,BS15 1NU,0117 3772700,0,AC,Does not apply,COMP,MIXED,0,11-19,0,0,1,1,,89,37,27,27,17,23.8,23.8,13.2,669.9,197.7,669.9,197.7,638.9,231.8,100%,89%,59%,100%,89%,59%,100%,71%,35%,4%,C-,C-,Dist+,0.04,-0.11,0.19,96,0.04,-0.11,0.19,96,0.35,0.06,0.63,32
1,7460,45,2,801,6908,135575,,Bristol Cathedral Choir School,College Square,,,Bristol,BS1 5TS,0117 3535000,0,AC,Church of England,COMP,MIXED,0,11-18,0,0,1,0,,187,79,79,79,NE,78.8,79,NE,760.7,225.8,760.9,225.9,NE,NE,100%,100%,94%,100%,100%,94%,NE,NE,NE,15%,B-,B-,NE,0.10,0.00,0.19,294,0.10,0.00,0.19,296,NA,NA,NA,NA
1,7468,45,2,801,6013,109369,,Bristol Grammar School,University Road,,,Bristol,BS8 1SR,0117 9736006,0,IND,None,,MIXED,0,4-18,0,0,1,0,,288,138,138,138,NE,136.9,138,NE,900,251.5,901.6,251.8,NE,NE,100%,100%,99%,100%,100%,99%,NE,NE,NE,45%,B+,B+,NE,0.06,-0.02,0.13,545,0.06,-0.01,0.13,558,NA,NA,NA,NA
1,7474,45,2,801,6913,135959,,Bristol Metropolitan Academy,Snowdon Road,Fishponds,,Bristol,BS16 2HD,0117 3772071,0,AC,Does not apply,COMP,MIXED,0,11-19,0,0,1,1,,46,12,2,2,11,1.5,1.5,10.5,SUPP,SUPP,SUPP,SUPP,465.1,194.7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,100%,100%,18%,SUPP,SUPP,SUPP,Merit,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.60,-0.95,-0.25,25
1,11688,45,2,801,6905,134221,,The City Academy Bristol,Russell Town Avenue,,,Bristol,BS5 9JH,0117 9413800,0,AC,Does not apply,COMP,MIXED,0,11-18,0,0,1,0,,204,78,47,47,50,37.6,37.6,40.4,599.5,177.6,599.5,177.6,596.2,204.3,98%,77%,47%,98%,77%,47%,100%,72%,42%,2%,D,D,Merit+,-0.25,-0.38,-0.13,151,-0.25,-0.38,-0.13,151,-0.38,-0.58,-0.18,73
1,11716,45,2,801,8008,131094,,City of Bristol College,St George's Road,Anchor Road,,Bristol,BS1 5UA,0117 3125000,0,General Further Education College,Does not apply,NA,MIXED,0,16+,0,0,0,0,,3772,535,109,109,430,106.1,106.2,428.8,643.1,195.6,643.3,195.6,453.3,198.9,100%,94%,74%,100%,94%,74%,100%,57%,36%,1%,C-,C-,Merit,-0.02,-0.11,0.06,400,-0.02,-0.11,0.06,401,-0.47,-0.55,-0.38,372
1,12074,45,2,801,6000,109334,,Clifton College,32 College Road,Clifton,,Bristol,BS8 3JH,0117 3157000,0,IND,Church of England,,MIXED,0,3-19,0,0,1,0,,317,148,148,148,NE,148,148,NE,850.4,246.6,850.4,246.6,NE,NE,100%,97%,86%,100%,97%,86%,NE,NE,NE,36%,B+,B+,NE,0.00,-0.07,0.08,474,0.00,-0.07,0.08,474,NA,NA,NA,NA
1,12082,45,2,801,6001,109335,,Clifton High School,College Road,Clifton,,Bristol,BS8 3JD,0117 9730201,0,IND,None,,MIXED,0,3-18,0,0,1,1,,53,22,22,22,NE,21.7,22,NE,876.2,246.4,875.6,246.3,NE,NE,100%,100%,95%,100%,100%,95%,NE,NE,NE,32%,B+,B+,NE,0.14,0.00,0.27,81,0.14,0.00,0.27,85,NA,NA,NA,NA
1,12544,45,2,801,6909,135581,,Colston's Girls' School,Cheltenham Road,,,Bristol,BS6 5RD,0117 9424328,0,AC,Does not apply,COMP,GIRLS,0,11-18,0,0,1,1,,140,64,64,64,NE,64,64,NE,774.4,222.7,774.4,222.7,NE,NE,100%,100%,94%,100%,100%,94%,NE,NE,NE,20%,C+,C+,NE,0.19,0.09,0.29,248,0.19,0.09,0.29,248,NA,NA,NA,NA
1,12550,45,2,801,6002,109336,,Colston's School,Bell Hill,Stapleton,,Bristol,BS16 1BJ,0117 9655207,0,IND,None,,MIXED,0,2-18,0,0,1,1,,131,64,63,63,6,59.4,59.7,4.3,798,232.4,798.9,232.5,672,230.4,100%,92%,89%,100%,92%,89%,100%,100%,0%,24%,B-,B-,Dist+,-0.09,-0.18,0.01,229,-0.09,-0.18,0.01,233,-0.22,-0.83,0.39,6
1,13132,45,2,801,4100,137440,,Cotham School,Cotham Lawn Road,Cotham,,Bristol,BS6 6DT,0117 9198000,0,ACC,Does not apply,COMP,MIXED,1,11-18,0,0,1,1,,423,173,162,163,20,150.7,158.2,14.8,737.7,220.3,743,221.5,676.3,246.7,100%,94%,75%,99%,94%,79%,100%,75%,25%,11%,C+,C+,Dist*-,0.06,-0.01,0.13,567,0.07,0.00,0.14,606,0.39,0.07,0.71,31
1,33506,45,2,801,6910,135597,,Merchants' Academy,Gatehouse Avenue,Withywood,,Bristol,BS13 9AJ,0117 3015000,0,AC,Does not apply,COMP,MIXED,0,3-18,0,1,1,1,,63,21,21,21,13,14,14.1,6.9,582.6,156.3,582.7,156.6,935.4,246.9,95%,52%,38%,95%,52%,38%,100%,100%,0%,0%,E+,E+,Dist*-,-0.56,-0.73,-0.39,57,-0.56,-0.73,-0.39,59,0.24,-0.18,0.66,13
1,37598,45,2,801,6912,135671,,Oasis Academy Brightstowe,Penpole Lane,Shirehampton,,Bristol,BS11 0EB,0117 3532600,0,AC,Christian,COMP,MIXED,0,11-18,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,37600,45,2,801,4007,141652,,Oasis Academy Brislington,Hungerford Road,Brislington,,Bristol,BS4 5EY,0117 3772055,0,AC,Does not apply,COMP,MIXED,0,11-18,0,0,1,0,,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,37632,45,2,801,6911,135663,,Oasis Academy John Williams,Petherton Road,Hengrove,,Bristol,BS14 9BU,0127 5894680,0,AC,Christian,COMP,MIXED,0,11-18,0,0,1,1,,61,32,12,12,22,10.9,10.9,21.1,476.8,167.9,476.8,167.9,690.8,234.9,100%,83%,42%,100%,83%,42%,100%,91%,91%,0%,D-,D-,Dist+,-0.43,-0.65,-0.22,31,-0.43,-0.65,-0.22,31,0.28,-0.03,0.59,22
1,41504,45,2,801,6014,109370,,Queen Elizabeth's Hospital,Berkeley Place,Clifton,,Bristol,BS8 1JX,0117 9303040,0,IND,Christian,,BOYS,0,7-18,0,0,1,1,,148,64,64,64,NE,63.5,64,NE,904.8,249.1,906,249.3,NE,NE,100%,100%,98%,100%,100%,98%,NE,NE,NE,48%,B+,B+,NE,0.08,-0.01,0.17,260,0.08,-0.01,0.17,267,NA,NA,NA,NA
1,42248,45,2,801,6015,109371,,The Red Maids' School,Westbury Road,Westbury-on-Trym,,Bristol,BS9 3AW,0117 9622641,0,IND,None,,GIRLS,0,6-19,0,0,1,1,,123,62,48,62,NE,46.9,62,NE,862.2,241.6,958.5,239,NE,NE,100%,100%,98%,100%,100%,98%,NE,NE,NE,35%,B,B,NE,0.16,0.05,0.26,193,0.10,-0.02,0.21,221,NA,NA,NA,NA
1,42384,45,2,801,4627,138855,,Redland Green School,Redland Court Road,Redland,,Bristol,BS6 7EH,0117 3533200,0,ACC,Does not apply,COMP,MIXED,1,11-18,0,0,1,1,,457,199,195,195,12,186.8,192.4,6.6,778.1,226.9,784.3,227.8,757.9,249.8,100%,98%,85%,100%,99%,89%,100%,33%,33%,16%,B-,B-,Dist*-,0.09,0.02,0.16,710,0.09,0.02,0.15,748,0.26,-0.14,0.66,16
1,42386,45,2,801,6016,109372,,Redland High School for Girls,Redland Court,Redland Court Road,Redland,Bristol,BS6 7EF,0117 9245796,0,IND,None,,GIRLS,0,3-19,0,0,1,1,,94,42,42,42,NE,40.9,42,NE,812.2,236.4,809.5,235.9,NE,NE,100%,95%,90%,100%,95%,90%,NE,NE,NE,26%,B,B,NE,-0.06,-0.17,0.06,151,-0.07,-0.18,0.04,163,NA,NA,NA,NA
1,45268,45,2,801,4602,137627,,St Bede's Catholic College,Long Cross,Lawrence Weston,,Bristol,BS11 0SU,0117 3772200,0,ACC,Roman Catholic,COMP,MIXED,0,11-18,0,0,1,1,,105,19,19,19,NE,17.5,19,NE,689.8,183.4,736.3,180.3,NE,NE,100%,100%,74%,100%,100%,79%,NE,NE,NE,0%,D,D,NE,-0.24,-0.39,-0.08,71,-0.26,-0.42,-0.11,75,NA,NA,NA,NA
1,45518,45,2,801,8600,130563,,St Brendan's Sixth Form College,Broomhill Road,Brislington,,Bristol,BS4 5RQ,0117 9777766,0,Sixth Form College,Roman Catholic,NA,MIXED,0,16+,0,0,0,1,,1686,664,621,632,176,555.1,571.8,92.2,677.5,204.2,687.4,204.4,618.7,225.3,100%,89%,63%,100%,89%,64%,100%,35%,5%,5%,C-,C-,Dist,-0.03,-0.07,0.01,2090,-0.03,-0.07,0.01,2165,-0.11,-0.23,0.01,226
1,48688,45,2,801,4603,109327,,St Mary Redcliffe and Temple School,Somerset Square,,,Bristol,BS1 6RT,0117 3772100,0,VA,Church of England,COMP,MIXED,0,11-18,0,0,1,1,,585,245,245,245,NE,242.4,245,NE,805.2,228,807.6,228.5,NE,NE,100%,100%,95%,100%,100%,95%,NE,NE,NE,22%,B-,B-,NE,0.10,0.04,0.16,973,0.11,0.05,0.16,1006,NA,NA,NA,NA
4,,45,2,801,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,716.5,211.6,722.3,211.9,517.4,208.9,99.80%,92.30%,73.70%,99.70%,92.40%,74.90%,100.00%,56.30%,29.60%,9.50%,C,C,Merit+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,36412,45,,801,4900,135589,,North Bristol Post 16 Centre,,,,,,,,,,,,,,,,,,,880,372,357,358,32,337.4,350.6,21.4,760.1,224,765.7,225,701.4,247.7,100%,97%,80%,100%,97%,85%,100%,59%,28%,14%,C+,B-,Dist*-,0.09,0.04,0.14,1277,0.10,0.05,0.15,1354,0.40,0.13,0.67,47
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.3,216.1,785.5,216.4,577.4,219.5,99.60%,92.20%,78.70%,99.60%,92.40%,79.30%,99.90%,65.80%,47.50%,14.70%,C+,C+,Dist-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.9,211.9,768,212.1,576.9,219.4,99.60%,91.50%,77.20%,99.60%,91.60%,77.40%,99.90%,65.80%,47.60%,11.80%,C,C,Dist-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
